2025-04-20 10:39:49 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 10:40:54 error: [GET] /api/employees/getNumberOfAssignedEmployees >> StatusCode:: 500, Message:: this.employeeService.getNumberOfAssignedEmployees is not a function
2025-04-20 10:40:54 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 10:40:55 error: [GET] /api/tasks/getProjectHoursSummary >> StatusCode:: 400, Message:: Error getting all projects hours
2025-04-20 10:40:55 error: [GET] /api/employees/getNumberOfAssignedEmployees >> StatusCode:: 500, Message:: this.employeeService.getNumberOfAssignedEmployees is not a function
2025-04-20 10:40:55 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 10:40:56 error: [GET] /api/tasks/getProjectHoursSummary >> StatusCode:: 400, Message:: Error getting all projects hours
2025-04-20 10:41:01 error: [GET] /api/tasks/getProjectHoursSummary >> StatusCode:: 400, Message:: Error getting all projects hours
2025-04-20 10:41:02 error: [GET] /api/tasks/getProjectHoursSummary >> StatusCode:: 400, Message:: Error getting all projects hours
2025-04-20 10:46:07 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 10:46:07 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 10:49:18 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 10:49:21 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:25:44 error: [POST] /api/auth/signup >> StatusCode:: 400, Message:: password must be shorter than or equal to 32 characters
2025-04-20 11:25:56 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:28:12 error: [POST] /api/auth/signup >> StatusCode:: 400, Message:: password must be shorter than or equal to 32 characters
2025-04-20 11:28:28 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:28:28 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:43:28 error: Unable to connect to the database: Duplicate key name 'leaves_employee_id'
2025-04-20 11:44:41 error: Unable to connect to the database: Table 'db_aa010d_eltek.employees' doesn't exist
2025-04-20 11:46:01 error: [PUT] /api/employees/updateEmployee >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:47:33 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:47:34 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:49:51 error: [GET] /api/tasks/getProjectHoursSummary >> StatusCode:: 400, Message:: Error getting all projects hours
2025-04-20 11:49:51 error: [GET] /api/tasks/getProjectHoursSummary >> StatusCode:: 400, Message:: Error getting all projects hours
2025-04-20 11:50:10 error: [GET] /api/tasks/getProjectHoursSummary >> StatusCode:: 400, Message:: Error getting all projects hours
2025-04-20 11:50:10 error: [GET] /api/tasks/getProjectHoursSummary >> StatusCode:: 400, Message:: Error getting all projects hours
